Domeniu,Contine_IP,Contile_A_Rond,lungime_URL,adancime_URL,Redirectionare,domeniu_http,URL_scurt,sufix_prefix,dns_inregistrat,trafic_web,varsta_domeniu,valabilitate_domeniu,existenta_iframe,contine_mouseOver,putem_da_clic_dreapta,redirectionare_web,eticheta
security-app-mps.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
ee-verify-billing-secure.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
sateegourmet.com,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
monroy-proyectos.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
mmprsatx.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
www.jeffreybcam.net,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
xj333.mjt.lu,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
api.thekingscoffee.ro,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
reward-mobile-legends.net,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
janerodrigues.com.br,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
secure1811.tmweb.ru,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
2-57-122-7.cprapid.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
2020.171905.xyz,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
linktr.ee,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
flavena.co.rs,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
0c584d61-0ba8-48fe-8709-44323bfc47c1.htmlcomponentservice.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
linktr.ee,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
api.bdisl.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
authdevice-secure.me,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
railcarpatient.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
bodegalatinacorp-my.sharepoint.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
t-online-de.net,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
hmp.me,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
jdpiisjtfcsbtyvpwwgnpmxdqd-dot-gle39404049.rj.r.appspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
wkzhgs.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.megasaldaodepascoa.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
fdlvietqahnjflkvfuvqnjcqcr-dot-gle39404049.rj.r.appspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
itkrduskavqysizkizuahecmau-dot-gle39404049.rj.r.appspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
spjmpgijzwbqywfndsypsauwey-dot-gle39404049.rj.r.appspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
marketvit.by,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
qualitasc-my.sharepoint.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
azb3s.cf,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
forms.office.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
bityli.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
alicetruecolors.com.mx,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
imatter.rocks,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
statenewsharyana.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
homelike.tiantianchecheng.cn,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
vipps-sikkerhet.co,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
ygvshhhpdlapaxmbsbphpihgqz-dot-gle39404049.rj.r.appspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
modularmovements-my.sharepoint.com,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
asiiadinova.goosecreektradingpost.com,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
instagramhelpp.agency,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
runescapeapk.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
78.143.96.35,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
email302.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1
www.accountprotection-resetpairing-gb.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
google.projectseries.co.in,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
firebasestorage.googleapis.com,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
test.bayoucitybadges.org,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
app44666604777.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
sites.google.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
forms.office.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
www.flixpassed.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
mee-ralbead.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
pastelink.net,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
tmphysio.de,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
pranavks.github.io,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
s.id,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
s.id,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
